"collision_index","severity_rating"
"197901ETNLD19",3
"197901ETOKV11",2
"197901EUIAX91",2
"197901EUIJD71",2
"197901EUNGC84",2
"197901EVJGU17",2
"197901EVPGD51",2
"197901F1OJC39",2
"197901F4IJU60",2
"197901F4SJE62",2
"197901F4UKF32",3
"197901F5HIO77",3
"197901F5PGF90",2
"197901F5RJW01",2
"197901F6UIU67",3
"197901F6VDE79",2
"197901F8PDF07",3
"197901F9TEW95",4
"197901FACBE07",2
"197901FAFIC32",2
"197901FAXCE30",3
"197901FBIDE32",2
"197901FDOJC59",2
"197901FDWFD09",2
"197901FEMIW67",3
"197901FENAC60",3
"197901FFRCD62",2
"197901FFWBF17",2
"197901FHMJX16",2
"197901FKNCF16",1
"197901FLOID01",2
"197901FLRAE57",3
"197901FLRKE53",2
"197901FLWCF68",2
"197901FMIID65",2
"197901FNOBD24",2
"197901FOACC31",3
"197901FOKED02",2
"197901FRHAF20",2
"197901FSJJE91",2
"197901FUMGI10",2
"197901G3HEE08",2
"197901G3OLO18",2
"197901G4IGW17",2
"197901G5MJD72",2
"197901G5NEX33",2
"197901G6QIW78",2
"197901G7IJC67",2
"197901G7QCC45",2
"197901GATLD32",3
"197901GBHKD17",2
"197901GDJIC15",3
"197901GDVFC69",2
"197901GFXGZ76",3
"197901GKLDC24",2
"197901GKUCC22",3
"197901GLKID94",2
"197901GMVDW52",2
"197901GOILU10",2
"197901GPHKW71",2
"197901GPRGD06",2
"197901GQRAC15",2
"197901GRGLD47",3
"197901GSLHP40",2
"197901GSOID31",2
"197901GVIFF24",2
"197901GVRIE59",2
"197901H1LGC36",2
"197901H1OKE09",4
"197901H1QHC42",3
"197901H6SIE00",3
"197901H6WEC98",2
"197901H8NHX38",2
"197901H8QIC83",3
"197901H9JJC58",2
"197901H9MDD27",2
"197901H9PCQ09",3
"197901HAODD01",2
"197901HBXBP99",2
"197901HBXGD04",2
"197901HDJAU48",2
"197901HDTJF15",3
"197901HDXEE82",2
"197901HFHLE31",2
"197901HHPCC16",2
"197901HHQKC92",2
"197901HHVEO29",2
"197901HILLD23",2
"197901HLJGC83",2
"197901HMHIB03",2
"197901HMSDX88",2
"197901HNAAD23",2
"197901HPPCC81",2
"197901HQAEU49",1
"197901HQQED29",2
"197901HQTBC91",2
"197901HSSKD92",2
"197901HSTGV91",2
"197901HSVGF52",2
"197901HUNLI24",2
"197901HUQBK03",1
"197901HVIKE70",2
"197901I3IKD09",2
"197901I3XAD97",2
"197901I4PAC21",2
"197901I4UAD40",2
"197901I5OGE78",2
"197901I5WKF76",2
"197901I6REQ13",3
"197901I6SFC52",2
"197901I7JGF03",2
"197901I8QAV34",2
"197901IANDD65",2
"197901IARGU49",2
"197901ICIGC33",2
"197901IGMJY09",2
"197901IHUHC89",2
"197901IHWCW59",2
"197901IIMLO97",2
"197901IJCJC28",1
"197901ILQAC26",2
"197901IMKAF90",2
"197901IMUAD70",3
"197901IMUCC17",3
"197901IOOAF27",2
"197901IPRHF27",2
"197901IQBAI59",3
"197901IQLIV44",3
"197901IQNFF08",2
"197901IQRLU59",2
"197901ISSEC36",3
"197901ISSKV94",1
"197901ISXGE95",3
"197901ITPGD68",2
"197901ITQEE74",2
"197901ITQHK1A",2
"197901IUBGF29",3
"197901IURDE01",2
"197901IUVDE04",2
"197901IUWGE01",2
"197901J1JJE13",3
"197901J1RBK60",3
"197901J2QGC25",3
"197901J2RAC47",2
"197901J2VJF13",2
"197901J4IIC61",1
"197901J5GDV89",2
"197901J5ODD74",3
"197901J5WID39",2
"197901J6XFW69",2
"197901J8NKK69",2
"197901J8PLE55",2
"197901J8QII39",1
"197901J8REK42",2
"197901J9XFD21",2
"197901JAJJQ50",2
"197901JASKJ35",2
"197901JBCAI19",2
"197901JBJDF07",3
"197901JBQGD58",2
"197901JBRIC74",2
"197901JBSBE70",2
"197901JDUGF11",2
"197901JEQGV70",2
"197901JEVED10",1
"197901JFRGX38",2
"197901JFXDC99",2
"197901JHHKC78",2
"197901JHPKV22",2
"197901JIIFR21",2
"197901JIVIW05",2
"197901JJHIJ08",2
"197901JMUEQ65",2
"197901JOOKC15",2
"197901JPIKE08",2
"197901JPKAF03",3
"197901JPKEF06",3
"197901JQMDD96",2
"197901JTSAC95",2
"197901JUABD76",2
"197901JUPJE59",1
"197901JVBIW09",2
"197901K2MJU12",2
"197901K3QDW68",2
"197901K3QJW88",2
"197901K5RAO40",3
"197901K5RGW58",2
"197901K5XIE81",2
"197901K6SGK18",3
"197901K7IHD07",2
"197901K8SFD18",2
"197901K9IGQ82",2
"197901KARFK53",2
"197901KASEF22",2
"197901KAWBF70",2
"197901KAXCC39",2
"197901KBAGV59",3
"197901KBWAE49",2
"197901KEEHC88",3
"197901KEGGK87",1
"197901KEPBD93",2
"197901KEPIC63",2
"197901KEQFD54",1
"197901KFJDP77",2
"197901KFVGF61",2
"197901KGUGC79",3
"197901KHBAQ39",2
"197901KHNEE05",2
"197901KHPGF19",2
"197901KHRCC19",1
"197901KJUEX85",2
"197901KLPHD95",2
"197901KMGBJ61",2
"197901KMIAL13",3
"197901KMJAC54",2
"197901KMPJW10",3
"197901KMSDE52",2
"197901KNPIE05",2
"197901KNPL635",2
"197901KNSKK07",1
"197901KOBGD71",3
"197901KPQDD53",2
"197901KPULF29",2
"197901KSIIP50",2
"197901KSPGD21",3
"197901KSPIW22",2
"197901KSRFE34",2
"197901KSTGF32",3
"197901KTIAQ88",3
"197901KUPBD45",3
"197901KUUJF63",2
"197901L1LLF04",3
"197901L2OHV97",2
"197901L3JJO38",2
"197901L3NGE94",2
"197901L4HIE52",2
"197901L4VIC60",3
"197901L5SAD74",2
"197901L5SAE77",2
"197901L6HCG04",3
"197901L8OCE71",2
"197901L9DAC86",2
"197901L9TJJ45",2
"197901L9WJE40",2
"197901LAOJJ54",2
"197901LBIEW35",3
"197901LBVGX13",2
"197901LCHHK64",2
"197901LCNKE06",3
"197901LCWCE59",2
"197901LDHGP43",2
"197901LDNDC17",2
"197901LDXLC73",2
"197901LERJC75",1
"197901LFLAF34",2
"197901LFQKC37",2
"197901LFXHE29",3
"197901LGSIC16",3
"197901LJJAU30",2
"197901LJKAL14",2
"197901LJPCP52",3
"197901LKLAO18",2
"197901LLQJV42",2
"197901LLSAW00",3
"197901LLTJE51",2
"197901LLUDG06",2
"197901LMPHJ76",2
"197901LROFK19",2
"197901LSBJV06",2
"197901LTLDV88",3
"197901LUMAX58",2
"197903B102590",2
"197903B104180",2
"197903B108200",1
"197903CLHG165",2
"197903D206090",1
"197903E306510",2
"197903E308720",2
"197903G103980",1
"197903G104100",2
"197903G105310",2
"197903G106760",3
"197903H102920",2
"197903H105120",3
"197903H105570",2
"197903L102820",2
"1979040AF1067",2
"1979040AJ0346",2
"1979040AJ1086",2
"1979040AM0451",2
"1979040BB0526",2
"1979040BF0882",2
"1979040CD0226",2
"1979040CG0306",2
"1979040CG1059",2
"1979040CH0132",2
"1979040DC1633",2
"1979040DG1678",2
"1979040EB0312",2
"1979040EB0761",3
"1979040EC0253",2
"1979040EC0770",2
"1979040EC0961",2
"1979040EC1290",2
"1979040FA0278",2
"1979040FA0439",2
"1979040FA0614",2
"1979040FA0719",2
"1979040FA0843",2
"1979040FB0403",2
"1979040FB1002",2
"1979040GC0051",2
"1979040GC0336",2
"1979040GC0678",2
"1979040GC0782",3
"1979040GC0918",2
"1979040GK0816",2
"1979040HG0006",2
"1979040HH0350",2
"1979040HH0409",3
"1979040JA0491",3
"1979040JA1782",1
"1979040JA1804",2
"1979040JF0848",2
"1979040JH0875",2
"1979040JJ0722",3
"1979040JJ1662",2
"1979040JN0287",2
"1979040JN1399",2
"1979040JQ0855",1
"1979040KK0378",2
"1979040KK0751",2
"1979040KK0946",2
"1979040KL0918",2
"1979040KM0332",2
"197905A100248",3
"197905A100940",3
"197905A200019",2
"197905A200471",2
"197905A200960",1
"197905B101351",3
"197905B101521",2
"197905B200178",2
"197905B200537",2
"197905B300817",2
"197905C100387",2
"197905C100698",2
"197905C101110",2
"197905C200592",2
"197905D100781",2
"197905D101167",2
"197905D200148",3
"197905D200489",2
"197905D200895",2
"197905E200606",2
"197905E200849",3
"197905F100949",2
"197905F200406",1
"197905F200864",2
"197905F201316",2
"197905F202040",2
"197905G200053",1
"197905G200656",2
"197905G200810",2
"197905G200851",2
"197905H100161",2
"197905H100568",3
"197905H100627",2
"197905H100884",2
"197905H200134",2
"197905H200700",2
"197905H200895",2
"197905J100152",4
"197905J200608",3
"197905J200985",2
"197905J201288",3
"197905K100002",2
"197905K100732",2
"197905K100884",3
"197905K100983",1
"197905K300214",2
"197905L100228",2
"197905L100489",2
"197905L100499",2
"197905L100628",2
"197905L100731",2
"197905L100854",2
"197905L100946",2
"197905L201051",2
"197906A000852",2
"197906B000090",3
"197906B001028",2
"197906B001144",2
"197906B001152",2
"197906B001324",2
"197906C000186",3
"197906C000654",2
"197906D000319",2
"197906D000700",2
"197906D000802",2
"197906D000969",2
"197906D001276",2
"197906D001573",2
"197906D001664",2
"197906D001788",3
"197906D001834",2
"197906E000093",2
"197906E000227",2
"197906E000416",2
"197906E000418",2
"197906E000593",2
"197906E001037",2
"197906E001347",2
"197906E001630",2
"197906F000110",2
"197906F000239",3
"197906F000334",2
"197906F000934",2
"197906F001405",2
"197906F001535",1
"197906F001640",2
"197906F001703",2
"197906F002418",2
"197906F002438",2
"197906F002678",2
"197906F002814",2
"197906F002875",2
"197906G000145",2
"197906G000651",2
"197906G001108",2
"197906G001901",2
"197906J000624",2
"197906J001376",2
"197906J001504",2
"197906J001947",2
"197906J002403",2
"197906J002647",2
"197906J002689",2
"197906K000477",2
"197906K001179",2
"197906K001196",2
"197906K001415",3
"197906K001693",2
"197906K001962",2
"197906K002441",2
"197906K002815",2
"197906K002837",2
"197906K002911",2
"197906L000403",2
"197906L000482",1
"197906L000758",1
"197906L001689",1
"197906L002146",2
"197906L002346",2
"197906L002776",2
"197906M000196",3
"197906M000389",2
"197906M000438",2
"197906M000487",2
"197906M000902",2
"197906M001413",2
"197906M001710",2
"197906N000706",3
"197906N001334",2
"197906P001244",2
"197906P001516",2
"197906P001581",2
"197906P001785",2
"197906Q000999",3
"197907A4TCE40",3
"197907A4TIQ00",2
"197907ACPCE70",2
"197907ACXFK40",2
"197907AGNIE80",2
"197907AHHJQ00",2
"197907AVRHE70",2
"197907B2IGQ80",2
"197907C3LLK70",2
"197907CHNEK40",2
"197907CSREQ70",2
"197907DCQFQ70",3
"197907DJRCE80",1
"197907E7LDQ10",2
"197907EAOHE00",2
"197907F7MGQ70",2
"197907FGXJK00",2
"197907G3LGQ30",2
"197907G8CDE30",2
"197907GRNDQ60",2
"197907IDWGQ60",2
"197907JARCQ10",2
"197907JKPDE70",2
"197907JTHAQ60",2
"197907K5GLE10",2
"197907KHRDE20",1
"197907KTVCQ20",2
"197907L5HLK80",2
"197907L6MC260",1
"197907LRREE00",3
"197907LUUCE00",2
"197910A004579",3
"197910A011679",2
"197910A024379",2
"197910A025579",2
"197910A033379",2
"197910A042479",3
"197910B033279",4
"197910D020379",2
"197910D024779",2
"197910D026579",2
"197910E014379",2
"197910E025279",2
"197910E025679",1
"197910E061679",2
"197910E064779",2
"197910E069879",2
"197910F004579",2
"197910F019579",2
"197910F026379",2
"197910G021779",2
"197910G026979",2
"197910G030779",2
"197910G035979",2
"197910H022279",3
"197910H024979",2
"197910H027679",2
"197910H080879",2
"1979119AA0412",2
"1979119AA0781",2
"1979119AA0994",2
"1979119BD0133",1
"1979119BE0035",2
"1979119BE0593",2
"1979119BE0627",3
"1979119BF0910",2
"1979119CG0064",2
"1979119CI0028",4
"1979119CI0607",2
"197912A003779",2
"197912A017379",1
"197912A021379",2
"197912A026979",2
"197912A029179",2
"197912A052479",2
"197912A060279",2
"197912A076479",2
"197912A121379",2
"197912A124979",2
"197912A131379",2
"197912A136279",2
"197912A169479",2
"197912A180779",2
"197912A187379",1
"197912A216379",2
"197912B113579",2
"197912B125279",2
"197912B189679",2
"197912C005279",2
"197912C035479",2
"197912C046879",3
"197912C069679",2
"197912C070279",1
"197912C074879",2
"197912C093079",2
"197912C095179",2
"197912C153679",2
"197912D023179",1
"197912D035979",2
"197912D059379",2
"197913A012279",2
"197913A088679",2
"197913A091979",3
"197913A114479",2
"197913A152579",2
"197913A211479",1
"197913B039479",2
"197913B048779",2
"197913B060579",2
"197913B105279",3
"197913B128479",2
"197913B135879",2
"197913B153479",2
"197913B153579",3
"197913B157479",2
"197913B165079",2
"197913B171179",1
"197913B176579",1
"197913B178379",2
"197913C110379",3
"197913D026779",2
"197913D035079",3
"197913D063879",2
"197913D085679",2
"197913E123579",2
"197913E132179",2
"197913F070179",3
"197913F133279",2
"197913F139979",2
"197913H009279",2
"197913H059279",2
"197913H099279",3
"197913H146879",2
"197913H196979",5
"197913J005379",2
"197913K045079",2
"197913K055779",2
"197913K125979",2
"197913K162379",2
"197913K190879",2
"197913K191779",3
"197913L061779",2
"197913L070179",3
"197913L093179",2
"197913L099079",2
"197913L109579",1
"197913L151079",3
"197913L151279",2
"197913M007779",2
"197913M122179",2
"197913N001779",2
"197913N023879",2
"197913N056779",2
"197913N101879",3
"197913N163679",2
"197913N172279",2
"197913P078779",2
"197913P087379",3
"197913P099979",1
"197913P115379",2
"197913P156679",2
"197913Q004579",2
"197913Q122979",2
"197913Q139079",2
"197913Q223079",1
"197913Q228979",2
"197914A101114",3
"197914A101434",2
"197914A101639",2
"197914A102650",2
"197914A201211",2
"197914A201756",2
"197914A202219",1
"197914A300648",2
"197914A301112",1
"197914A302322",2
"197914A302840",2
"197914B100252",2
"197914B100978",2
"197914B102154",3
"197914B200711",2
"197914B200909",3
"197914B200982",2
"197914B201085",2
"197914B201295",2
"197914B201555",2
"197914C100628",2
"197914C100728",2
"197914C100960",2
"197914C100969",2
"197914C102287",2
"197914C200627",2
"197914C202165",1
"197914C300563",2
"197914C300977",2
"197914C301097",2
"197914D100404",2
"197914D100546",3
"197914D100710",2
"197914D200563",1
"197914D200696",2
"197914D201239",3
"197914E100629",3
"197914E100781",2
"197914E100784",2
"197914E100928",2
"197914E100968",1
"197914E101255",3
"197914E101448",2
"197914E200022",2
"197914E200406",3
"197914E200511",2
"197914E201451",2
"197914F201261",2
"197914F201666",2
"197914F201690",2
"197916H070142",2
"197916L040051",2
"197916M050081",2
"197916N120369",2
"197916P110251",2
"197916P110388",2
"197916P140161",2
"197916T010013",2
"197916T010252",2
"197916T050151",2
"197916T050218",2
"197916T050266",2
"197916T050436",2
"197916T050601",2
"197916T050651",2
"197916U040209",2
"197916W050046",1
"197916W050202",2
"197916W050582",4
"197917D100160",2
"197917D100188",1
"197917D100845",2
"197917D200268",2
"197917D201276",1
"197917E200172",2
"197917E200510",2
"197917E200674",2
"197917F100092",2
"197917F100656",2
"197917F101104",2
"197917F200928",2
"197917F201384",2
"197917F300267",2
"197917F300662",2
"197917F300843",3
"197917F301314",3
"197917G100016",3
"197917G100058",2
"197917G100534",2
"197917G100827",2
"197920A09L405",2
"197920A10I453",2
"197920A12Q405",2
"197920A16W103",2
"197920A17J255",2
"197920A20M303",3
"197920A25X053",2
"197920BNNK303",3
"197920C2MK503",2
"197920C8MH500",2
"197920CAKB107",2
"197920CIQF405",1
"197920CKHL300",3
"197920CKUJ405",3
"197920CTNE500",2
"197920D7OI400",2
"197920DERJ303",2
"197920DILK500",2
"197920DLPB300",2
"197920DTLD509",2
"197920ECVG500",1
"197920EEIK403",2
"197920ENRK505",2
"197920F5QK503",2
"197920F8QF502",2
"197920F9OC300",2
"197920FJXB509",1
"197920FKPE500",2
"197920FMWI300",2
"197920FPUK309",2
"197920G4IIC70",2
"197920GCUCO30",2
"197920GECJC30",2
"197920GSADO30",2
"197920H7OKI00",2
"197920H8MLC50",2
"197920H8SEO30",2
"197920H9HDO30",3
"197920HDHKC50",3
"197920HHIEO00",2
"197920HKSIO50",2
"197920HLMKO50",3
"197920HNXIC00",2
"197920I3WEI20",2
"197920I4PJO90",2
"197920I6RAO50",2
"197920IGMJO30",2
"197920IKIJC00",2
"197920IKKGC00",3
"197920IKQEI70",2
"197920IMXDC30",2
"197920IRVCC00",2
"197920ISIDO00",2
"197920ISQDC30",2
"197920ITRCO00",3
"197920J2SBC70",1
"197920J5WBI00",2
"197920J9JCC00",2
"197920JAMHI30",2
"197920JDNKC90",2
"197920JTRDO20",2
"197920JUXKI60",2
"197920KFLK070",4
"197920KMRJC20",2
"197920KNIIO50",2
"197920KQWLO90",3
"197920L1WKC00",2
"197920L8ABO50",3
"197920LFRLO20",3
"197920LIKEO20",2
"197920LKQGC70",1
"197920LLPDC00",3
"197920LMXCB00",2
"197920LNSFO20",2
"197920LQCHI00",2
"197920LVQKC00",2
"1979219200088",2
"1979219200155",2
"1979219200163",2
"1979219200165",2
"1979219200276",2
"1979219200495",2
"1979219200497",2
"1979219200871",2
"1979219300191",2
"1979219300275",1
"1979219300445",2
"1979219400031",2
"1979219400076",2
"1979219400249",2
"1979219400278",2
"1979219400376",2
"1979219500304",2
"1979219500478",2
"1979219500559",3
"1979219600032",2
"1979219600112",3
"1979219600152",2
"1979219600241",2
"1979219600479",2
"1979219700018",2
"1979219700212",2
"1979219700214",3
"1979219700561",2
"1979219800035",2
"1979219800075",2
"1979219800292",2
"1979220101018",2
"1979220103010",2
"1979220111047",2
"1979220112052",2
"1979220112057",2
"1979220204044",2
"1979220205019",1
"1979220209010",2
"1979220209031",1
"1979220308025",1
"1979220308032",2
"1979220309048",2
"1979220501022",1
"1979220503032",2
"1979220506020",2
"1979220506048",2
