"collision_index","longitude","latitude","date","time","road_type","speed_limit","junction_detail","junction_control","pedestrian_crossing","light_conditions","weather_conditions","road_surface_conditions","carriageway_hazards","urban_or_rural_area","area"
"199697EB02308",,,"08/08/1996","16:05",6,30,13,4,0,1,1,1,0,1,Strathclyde
"201597AD70106",-4.332172,55.873024,"06/06/2015","23:10",6,30,0,-1,14,4,4,1,0,1,Strathclyde
"199762F015097",,,"08/05/1997","07:20",6,40,0,-1,0,1,1,1,0,2,South Wales
"200304C099503",-2.887662,53.567017,"12/09/2003","07:20",3,30,13,2,0,1,1,1,0,1,Lancashire
"2010620198641",-3.16113,51.499367,"04/03/2010","16:20",6,30,16,2,15,1,1,1,0,1,South Wales
"201301JC30171",-0.006177,51.57899,"19/04/2013","19:10",6,30,13,4,0,1,1,1,0,1,Metropolitan Police
"2008950009907",-3.156752,55.927574,"15/11/2008","07:50",6,30,0,-1,0,1,1,1,15,2,Lothian and Borders
"2008940802057",-3.292372,56.078175,"13/09/2008","04:20",6,60,0,-1,0,6,2,2,0,2,Fife
"200897AD04102",-4.338208,55.87441,"20/02/2008","21:20",6,30,0,-1,0,4,1,1,0,1,Strathclyde
"199404J115894",,,"09/11/1994","09:05",6,30,13,4,0,1,2,2,0,1,Lancashire
"200197KX02806",-4.801019,55.944836,"15/06/2001","15:30",6,30,13,4,0,1,2,2,0,1,Strathclyde
"200501XH30395",-0.410531,51.518623,"09/08/2005","13:55",3,40,13,4,0,1,4,1,0,1,Metropolitan Police
"200701NI65137",-0.126091,51.551563,"20/07/2007","20:30",6,30,16,2,15,1,1,1,0,1,Metropolitan Police
"200701JC65634",-0.002922,51.561043,"14/07/2007","13:35",6,30,13,4,0,1,1,1,0,1,Metropolitan Police
"1995075C30207",,,"04/02/1995","16:45",6,60,0,-1,0,6,1,2,0,2,Cheshire
"2013030000813",-2.643703,54.21402,"20/04/2013","13:20",6,40,0,-1,0,1,1,1,0,2,Cumbria
"199991NN21832",-4.657357,57.163536,"21/07/1999","19:40",6,60,0,-1,0,1,2,2,0,2,Northern
"2007620167491",-3.192777,51.480972,"30/05/2007","20:30",6,30,17,4,0,1,2,2,0,1,South Wales
"200263DP14702",-3.175697,52.616653,"10/05/2002","11:03",6,60,18,4,0,1,1,1,0,2,Dyfed-Powys
"1997050090712",,,"30/04/1997","08:35",3,70,0,-1,0,1,1,1,13,2,Merseyside
"201201KG70314",0.161101,51.55148,"08/09/2012","14:00",6,30,16,2,15,1,1,1,0,1,Metropolitan Police
"200001YR00375",-0.086195,51.581043,"13/04/2000","19:30",6,30,0,4,0,1,2,2,0,1,Metropolitan Police
"201201LX50396",-0.123382,51.47715,"02/06/2012","11:23",6,30,16,2,15,1,1,1,0,1,Metropolitan Police
"2020010236962",0.020298,51.517174,"17/02/2020","08:55",3,30,0,-1,0,1,1,2,0,1,Metropolitan Police
"199901MD00446",-0.093191,51.50355,"23/08/1999","11:57",12,30,0,-1,0,1,1,1,0,1,Metropolitan Police
"200701ZT80192",-0.214435,51.36544,"21/09/2007","03:47",6,40,0,-1,0,4,8,2,0,1,Metropolitan Police
"2020010249639",-0.018586,51.58101,"29/05/2020","17:00",3,30,13,4,15,1,1,1,0,1,Metropolitan Police
"199801WA00607",,,"02/12/1998","07:25",6,30,13,4,0,1,1,1,0,1,Metropolitan Police
"199797GC42304",,,"26/04/1997","11:40",6,50,0,-1,0,1,2,2,0,2,Strathclyde
"1998950178398",,,"17/02/1998","12:05",3,70,0,-1,0,1,1,1,0,2,Lothian and Borders
"2009930001522",-2.879545,56.638054,"19/04/2009","19:00",6,30,13,4,0,1,1,1,0,1,Tayside
"1996030002851",,,"21/10/1996","08:29",3,60,0,-1,0,1,1,1,0,2,Cumbria
"199904D018299",-2.659136,53.824394,"08/04/1999","10:25",6,30,13,4,0,1,1,2,0,2,Lancashire
"200496E403543",-4.357525,56.005714,"28/12/2004","19:30",6,60,0,-1,0,6,2,2,0,2,Central
"201497AD03709",-4.293072,55.875935,"29/09/2014","16:55",7,30,0,-1,15,1,1,1,0,1,Strathclyde
"200704BA07036",-2.819649,54.007576,"25/02/2007","08:45",2,60,0,-1,0,1,8,2,0,2,Lancashire
"201197QC02910",-3.813032,55.57807,"22/10/2011","02:00",6,60,13,4,0,4,1,1,0,2,Strathclyde
"2000920003100",-2.111768,57.120476,"21/08/2000","08:20",6,30,0,-1,0,1,9,2,0,1,Grampian
"2004950000901",-3.203348,55.943752,"30/01/2004","20:10",6,30,17,2,0,4,1,2,0,1,Lothian and Borders
"201297LA03212",-4.470082,55.929447,"16/12/2012","23:30",3,70,0,-1,0,4,1,1,0,2,Strathclyde
"200797EC01802",-4.229625,55.876606,"16/02/2007","18:50",6,30,0,-1,0,4,1,1,0,1,Strathclyde
"199663B542096",,,"22/11/1996","16:50",6,30,0,-1,0,4,1,2,0,1,Dyfed-Powys
"2018010094680",0.129824,51.56128,"07/03/2018","14:16",6,30,0,-1,0,1,9,9,0,1,Metropolitan Police
"200601YE80251",-0.052672,51.683098,"11/04/2006","16:33",3,70,0,-1,0,1,1,2,0,2,Metropolitan Police
"201401RG40509",0.008734,51.491596,"01/09/2014","06:45",3,30,0,2,0,1,1,1,0,1,Metropolitan Police
"2018010110824",-0.090493,51.50599,"28/05/2018","06:10",6,20,0,-1,0,7,1,1,0,1,Metropolitan Police
"2017030148555",-3.573029,54.53928,"21/01/2017","18:00",6,30,0,-1,0,4,9,1,0,1,Cumbria
"2017030156279",-2.923565,54.183468,"15/02/2017","19:30",6,30,0,-1,0,1,1,2,0,2,Cumbria
"201104BA11166",-2.795473,54.03687,"01/09/2011","17:10",6,30,13,4,0,1,1,1,0,1,Lancashire
"199997UC04409",-4.449353,55.630913,"24/09/1999","08:30",6,60,0,-1,0,1,1,2,0,2,Strathclyde
"200297UA08609",-4.604958,55.615032,"24/09/2002","15:45",6,30,16,4,0,1,1,1,0,2,Strathclyde
"199897FB02511",,,"08/11/1998","20:50",3,30,13,2,15,4,5,2,0,1,Strathclyde
"201597GA01110",-4.310084,55.86206,"08/10/2015","13:50",6,30,13,2,15,1,1,1,0,1,Strathclyde
"199962G030499",-3.859181,51.65881,"24/09/1999","16:45",6,40,0,-1,0,1,2,2,0,2,South Wales
"2015930000499",-3.017355,56.53303,"04/10/2015","04:00",6,60,18,4,0,6,8,1,0,2,Tayside
"199804F036798",,,"03/06/1998","21:30",6,30,16,2,0,1,1,1,0,1,Lancashire
"200304B044503",-2.592672,54.173477,"21/07/2003","20:01",6,60,0,-1,0,1,1,1,0,2,Lancashire
"199763B503697",,,"31/01/1997","06:45",6,60,0,-1,0,6,8,4,0,2,Dyfed-Powys
"200997QD00711",-4.187752,55.82568,"05/11/2009","22:35",6,30,13,2,0,4,2,2,0,1,Strathclyde
"2006940602050",-3.182704,56.127796,"08/09/2006","18:00",6,20,13,4,0,1,1,1,0,1,Fife
"1999620007032",-3.15508,51.488007,"25/12/1999","18:22",6,30,13,4,0,4,1,2,0,1,South Wales
"200263CP10002",-4.762678,51.80947,"26/04/2002","00:40",6,60,0,-1,0,7,1,1,0,2,Dyfed-Powys
"199962J033799",-3.974225,51.65441,"15/11/1999","18:24",6,30,18,4,0,4,2,2,0,1,South Wales
"199401KG00432",,,"26/07/1994","10:45",6,30,18,4,0,1,2,2,0,1,Metropolitan Police
"201201ZD30515",-0.017046,51.342213,"15/07/2012","14:48",6,30,13,4,0,1,1,1,0,1,Metropolitan Police
"200901YR90599",-0.088752,51.60267,"21/08/2009","18:00",3,30,13,4,0,1,1,1,0,1,Metropolitan Police
"2017010047029",-0.217578,51.380566,"06/07/2017","19:19",6,30,13,4,0,1,1,1,0,1,Metropolitan Police
"2019070558313",-2.120052,53.25661,"27/09/2019","13:30",6,30,16,2,0,1,2,2,0,1,Cheshire
"199506N161795",,,"05/02/1995","18:33",6,30,16,3,0,4,1,2,0,1,Greater Manchester
"200506G040046",-2.085366,53.46116,"05/12/2005","03:04",6,30,0,-1,0,4,1,2,0,1,Greater Manchester
"201501SX21198",-0.196834,51.576015,"17/12/2015","07:50",6,30,16,2,15,1,1,1,0,1,Metropolitan Police
"201301ZD30227",-0.102342,51.397675,"29/03/2013","13:34",6,30,16,4,13,1,1,1,0,1,Metropolitan Police
"199801JC00025",,,"14/01/1998","15:30",6,30,13,4,13,1,1,1,0,1,Metropolitan Police
"199504N004895",,,"22/03/1995","07:55",6,50,18,4,0,1,1,1,0,2,Lancashire
"2019040875161",-2.655261,53.718517,"06/09/2019","14:10",3,40,0,4,15,1,1,1,0,1,Lancashire
"200791NE19447",-4.337032,57.585426,"19/08/2007","13:36",6,60,0,-1,0,1,1,1,0,2,Northern
"201297AD00607",-4.29735,55.870148,"15/07/2012","21:15",6,30,0,-1,0,4,1,2,0,1,Strathclyde
"200697NC02106",-4.016399,55.942116,"08/06/2006","18:45",3,70,0,4,0,1,1,1,0,1,Strathclyde
"2023622301013",-3.209841,51.46454,"01/12/2023","13:17",6,40,0,-1,0,1,1,1,0,2,South Wales
"200304E075203",-2.390796,53.7862,"10/10/2003","13:33",6,30,13,4,0,1,1,1,0,2,Lancashire
"199804B070298",,,"27/10/1998","17:30",6,30,0,4,17,4,1,1,0,1,Lancashire
"201501RG40261",0.024545,51.4751,"15/05/2015","22:55",1,30,0,4,0,4,1,1,0,1,Metropolitan Police
"200801YR69613",-0.064095,51.584816,"07/02/2008","11:15",3,30,13,4,0,1,1,1,0,1,Metropolitan Police
"2022010395659",-0.147402,51.346806,"22/08/2022","19:52",6,20,13,4,0,4,1,1,0,1,Metropolitan Police
"1999950007619",,,"17/08/1999","13:59",3,30,0,4,0,1,1,1,0,3,Lothian and Borders
"2006930002504",-2.930814,56.495277,"30/06/2006","18:45",6,30,18,4,0,1,1,1,0,1,Tayside
"200097AC00303",-4.278237,55.863132,"02/03/2000","22:50",9,30,13,4,0,4,1,1,0,1,Strathclyde
"2008620182896",-3.482991,51.53063,"15/08/2008","07:25",6,40,0,-1,0,1,1,1,0,2,South Wales
"199704D039897",,,"17/06/1997","06:55",6,30,16,4,0,1,1,1,0,1,Lancashire
"201204FL12030",-2.328588,53.69754,"27/04/2012","09:43",3,70,0,4,0,1,1,1,0,1,Lancashire
"199601TG00043",,,"29/01/1996","21:58",6,30,13,4,0,4,1,2,0,1,Metropolitan Police
"199797DA00909",,,"06/09/1997","17:40",6,30,16,4,0,1,2,2,0,1,Strathclyde
"201697GB20808",-4.342495,55.815495,"09/08/2016","21:10",6,30,0,-1,0,4,9,1,0,1,Strathclyde
"199704E102997",,,"04/12/1997","16:20",6,60,0,-1,0,6,1,4,0,2,Lancashire
"201197UD05812",-4.617489,55.486046,"24/12/2011","17:20",6,30,13,4,14,4,5,2,0,1,Strathclyde
"2014950006155",-3.346899,55.946133,"01/12/2014","15:10",6,60,0,4,0,1,1,2,0,2,Lothian and Borders
"2014621400516",-3.440628,51.617157,"03/03/2014","16:10",6,30,13,4,0,1,1,1,0,1,South Wales
"200201EK00308",-0.140886,51.54955,"03/04/2002","15:51",6,30,13,2,15,1,1,1,0,1,Metropolitan Police
"201501ZD30438",-0.088553,51.380688,"03/06/2015","21:39",6,30,13,4,0,7,1,1,0,1,Metropolitan Police
"199601GD00125",,,"21/03/1996","10:00",6,30,13,4,0,1,1,2,0,1,Metropolitan Police
"2019010174079",-0.192915,51.402912,"08/04/2019","21:20",3,30,0,-1,12,4,2,2,11,1,Metropolitan Police
"2003620092440",-3.801195,51.589302,"13/09/2003","15:30",6,30,0,-1,0,1,1,1,0,1,South Wales
"201404TA14033",-2.752035,53.954926,"21/02/2014","21:40",3,70,0,-1,0,6,5,2,0,2,Lancashire
"201804WB18184",-2.808839,54.04927,"21/06/2018","08:20",6,30,0,-1,0,1,1,1,0,1,Lancashire
"2021991117209",-4.350133,55.88241,"03/12/2021","17:57",6,30,16,2,0,4,1,2,0,1,Police Scotland
"199793970241E",,,"17/01/1997","19:00",6,60,13,4,0,6,7,2,0,2,Tayside
"2018610005218",-2.90714,51.620567,"28/02/2018","09:17",3,70,0,-1,0,1,1,1,0,2,Gwent
"2001620030102",-3.386581,51.77828,"29/01/2001","07:20",6,60,0,-1,0,1,1,1,0,2,South Wales
"200497KB00107",-4.480778,55.84627,"04/07/2004","14:14",1,60,0,4,0,5,1,1,0,1,Strathclyde
"2022991145500",-4.588391,55.957558,"17/02/2022","19:55",6,60,0,-1,0,6,5,2,0,2,Police Scotland
"1997600GN7018",,,"22/05/1997","15:45",12,30,0,-1,0,1,1,1,0,2,North Wales
"2018621800957",-4.021829,51.65712,"09/05/2018","19:04",1,30,0,4,0,1,1,1,0,1,South Wales
"2005070502616",-2.922426,53.304455,"19/06/2005","00:40",9,20,0,-1,0,1,1,1,0,2,Cheshire
"2007070294418",-2.228348,53.329372,"02/09/2007","12:40",1,30,0,4,0,1,2,2,0,1,Cheshire
"199904C076799",-2.94709,53.618156,"19/08/1999","17:55",6,40,18,4,0,1,1,1,0,2,Lancashire
"2023991396573",-4.264862,57.75285,"26/12/2023","12:05",6,60,0,-1,-1,1,8,4,-1,2,Police Scotland
"200397QB71310",-4.083442,55.82174,"28/10/2003","18:00",6,30,13,3,14,4,1,2,0,1,Strathclyde
"200597LB70602",-4.93049,55.95387,"14/02/2005","08:30",6,30,16,4,0,1,1,1,0,2,Strathclyde
"200263DP25002",-3.16196,52.572018,"30/07/2002","21:50",6,60,16,4,0,6,1,1,0,2,Dyfed-Powys
"199401SV00809",,,"03/12/1994","20:35",3,50,0,4,0,4,1,1,0,1,Metropolitan Police
"199701ZN00549",,,"28/07/1997","17:50",6,30,0,-1,13,1,1,1,0,1,Metropolitan Police
"2018010081756",-0.383391,51.499332,"05/01/2018","17:30",6,30,16,4,13,1,1,1,0,1,Metropolitan Police
"2024010520598",-0.09233,51.57433,"25/06/2024","18:45",6,20,13,4,0,1,1,1,13,1,Metropolitan Police
"199701QA00086",,,"02/02/1997","19:50",3,40,0,-1,13,4,1,1,0,1,Metropolitan Police
"201501TX20344",-0.33897,51.469486,"18/05/2015","18:32",6,30,0,-1,0,1,9,1,0,1,Metropolitan Police
"200504BA05066",-2.792458,54.054134,"19/08/2005","08:08",6,30,13,4,0,1,1,1,0,1,Lancashire
"2003620090533",-3.998197,51.57487,"27/08/2003","10:25",3,30,13,4,0,1,1,1,0,1,South Wales
"199662L003396",,,"27/01/1996","12:30",3,40,16,4,14,1,8,2,0,1,South Wales
"2009620193114",-3.446338,51.64322,"02/09/2009","16:30",1,30,0,4,0,1,2,1,0,2,South Wales
"2014030001071",-2.999168,54.966625,"07/05/2014","18:00",3,70,0,-1,0,1,2,5,0,2,Cumbria
"2020010244767",-0.051282,51.511055,"09/04/2020","15:30",2,20,13,4,0,1,1,1,0,1,Metropolitan Police
"200504F022905",-2.167053,53.85719,"15/03/2005","18:40",2,30,13,4,13,4,1,1,0,1,Lancashire
"2010930001907",-2.822034,56.61751,"03/06/2010","22:00",6,60,0,-1,0,6,1,1,0,2,Tayside
"2000620022295",-3.944154,51.63414,"27/09/2000","08:30",6,30,13,4,0,1,1,2,0,1,South Wales
"2019621900330",-3.945051,51.64418,"10/03/2019","15:34",6,30,0,-1,0,1,4,1,0,1,South Wales
"1999050037928",-2.766596,53.468616,"05/02/1999","08:30",6,30,13,4,0,1,5,2,0,1,Merseyside
"199501SG00476",,,"07/10/1995","08:14",6,30,13,4,0,1,1,1,0,1,Metropolitan Police
"201091NP06333",-5.566112,57.292107,"08/06/2010","16:15",6,60,19,4,0,1,1,1,0,2,Northern
"2011921104077",-2.108699,57.143925,"17/11/2011","00:45",6,20,13,4,0,4,1,1,0,1,Grampian
"200997GB20304",-4.264175,55.816475,"05/04/2009","19:15",6,30,0,-1,0,1,1,1,0,1,Strathclyde
"201797NE00112",-3.808239,55.81971,"02/12/2017","17:50",6,30,0,-1,14,4,2,2,0,1,Strathclyde
"202263D073622",-3.314149,52.708633,"30/08/2022","16:45",6,50,0,-1,0,1,1,1,0,2,Dyfed-Powys
"2019010190472",-0.203548,51.487446,"29/06/2019","21:42",6,20,13,4,13,4,1,1,0,1,Metropolitan Police
"201101BS70201",-0.20477,51.51691,"14/05/2011","23:10",6,30,13,4,0,4,1,1,0,1,Metropolitan Police
"199501LX00232",,,"17/03/1995","21:05",6,30,17,2,15,4,1,2,0,1,Metropolitan Police
"199701JC00075",,,"04/03/1997","09:35",6,30,0,-1,0,1,2,2,0,1,Metropolitan Police
"2005950005325",-3.11746,55.874744,"21/06/2005","19:00",6,30,13,4,0,1,1,1,0,1,Lothian and Borders
"201697NE03107",-3.925459,55.770267,"30/07/2016","13:10",6,30,0,-1,0,1,1,1,0,1,Strathclyde
"2015621502095",-3.943453,51.625824,"02/12/2015","18:01",3,30,19,4,0,4,2,2,0,1,South Wales
"2004620111930",-3.238013,51.524117,"24/06/2004","09:05",12,70,0,-1,0,1,1,2,0,1,South Wales
"2017010038590",-0.047543,51.640892,"19/05/2017","23:20",6,30,13,4,0,4,1,1,0,1,Metropolitan Police
"199401GN00041",,,"27/01/1994","00:50",6,30,16,2,0,4,4,1,0,1,Metropolitan Police
"200901LX50496",-0.112835,51.49892,"17/06/2009","18:10",6,30,0,-1,0,1,1,1,13,1,Metropolitan Police
"201201LX50733",-0.123382,51.47715,"14/09/2012","14:24",6,30,16,2,15,1,1,1,0,1,Metropolitan Police
"2017010021055",-0.063666,51.438553,"25/02/2017","15:58",6,20,13,4,0,1,2,2,17,1,Metropolitan Police
"201601MM70642",-0.058171,51.479954,"02/07/2016","19:10",6,30,13,4,14,1,1,1,0,1,Metropolitan Police
"201104EN11029",-2.406634,53.82148,"19/03/2011","16:05",6,30,13,4,0,1,1,1,0,2,Lancashire
"199501QD00383",,,"23/07/1995","21:25",6,30,0,-1,0,4,1,1,0,1,Metropolitan Police
"200401QK00389",-0.241792,51.551105,"27/05/2004","13:33",6,30,13,4,14,1,1,1,0,1,Metropolitan Police
"200801BS70375",-0.18014,51.491173,"27/06/2008","08:06",6,30,16,2,15,1,1,1,0,1,Metropolitan Police
"199701MS00168",,,"26/04/1997","12:05",6,30,16,2,15,1,1,1,0,1,Metropolitan Police
"199501HT00199",,,"22/06/1995","14:20",6,30,13,4,0,1,1,1,0,1,Metropolitan Police
"2003600AN1070",-4.632761,53.308445,"11/12/2003","12:25",6,30,0,-1,15,1,1,2,11,1,North Wales
"201260N127906",-3.076715,53.167778,"04/08/2012","13:30",6,30,0,-1,0,1,8,2,0,1,North Wales
"201101XD80728",-0.372519,51.52961,"31/10/2011","15:00",6,30,13,4,0,1,1,1,0,1,Metropolitan Police
"200801JI69897",0.067795,51.55199,"09/02/2008","14:15",3,40,0,-1,0,1,9,1,0,1,Metropolitan Police
"200601JI40577",0.043074,51.576527,"24/09/2006","09:15",1,30,0,4,0,1,1,1,0,1,Metropolitan Police
"200301MM00452",-0.052145,51.49631,"02/04/2003","09:20",6,30,13,2,0,1,1,1,0,1,Metropolitan Police
"201397UA04708",-4.632404,55.749035,"25/08/2013","12:10",6,30,0,-1,0,1,1,1,0,2,Strathclyde
"1997600WR3066",,,"27/05/1997","15:50",6,60,18,4,0,1,1,1,0,2,North Wales
"200701MM70212",-0.094358,51.485943,"27/03/2007","09:00",6,30,13,4,13,1,1,1,0,1,Metropolitan Police
"1998078M10818",,,"28/12/1998","18:06",3,70,0,-1,0,6,1,2,0,2,Cheshire
"2014950002021",-3.183319,55.97477,"14/04/2014","17:18",6,30,19,4,0,1,1,1,0,1,Lothian and Borders
"2017010061803",-0.222634,51.50222,"29/09/2017","23:00",6,20,16,4,15,4,1,1,0,1,Metropolitan Police
