"collision_index","vehicle_reference","vehicle_type","vehicle_manoeuvre","junction_location","skidding_and_overturning","hit_object_in_carriageway","first_point_of_impact","sex_of_driver","age_of_driver","engine_capacity_cc","propulsion_code","age_of_vehicle"
"2014471404879",1,19,4,8,1,0,1,1,44,1870,2,10
"201401RG40438",1,19,3,0,0,0,2,1,69,1995,2,3
"2014074192744",1,19,12,0,0,0,3,1,54,1995,2,2
"2014214004840",1,19,1,0,0,0,2,2,40,1995,2,0
"2014120083364",1,19,15,0,0,0,0,1,36,1870,2,9
"2014120195966",2,19,3,0,0,0,2,1,50,1598,2,0
"2014100517714",1,19,19,1,0,0,1,1,39,1995,2,4
"2014941400456",2,19,4,0,0,0,2,1,48,1870,2,9
"2014350198014",2,19,3,0,0,0,2,1,44,1995,2,3
"2014360084060",3,19,3,1,0,0,2,1,43,1995,2,0
"201443S056114",4,19,3,0,0,0,2,1,34,1995,2,3
"201442I395211",1,19,4,1,0,0,2,1,30,1995,2,3
"2014120188825",2,19,2,0,0,0,3,1,30,1995,2,7
"201401SX20662",1,19,3,0,0,0,2,1,63,1870,2,10
"201443P112104",1,19,9,5,0,0,4,1,28,1995,2,1
"201422C401243",1,19,19,0,0,0,0,1,64,1870,2,7
"201401YR90630",1,19,7,1,0,0,4,1,30,1995,2,1
"2014170L20574",2,19,9,8,0,0,3,1,49,1995,2,1
"201414A048614",1,19,19,0,0,0,1,1,57,1870,2,10
"2014621400128",1,19,9,5,0,0,3,1,51,1995,2,6
"201422D401900",2,19,19,0,0,0,1,1,20,1995,2,3
"2014440066267",2,19,9,8,0,0,3,3,-1,1870,2,8
"20144100T1127",5,19,4,0,0,0,2,1,53,1995,2,1
"201420T041654",1,19,9,6,0,0,3,1,27,1995,2,1
"2014621402370",3,19,19,1,0,0,1,2,24,1995,2,3
"201406A083651",2,19,19,8,0,0,1,1,50,1870,2,8
"201443S063074",3,9,19,1,0,0,1,2,71,1995,2,8
"2014074176933",2,20,19,5,0,0,2,1,23,-1,-1,-1
"201431C242614",1,19,19,8,1,0,1,1,30,2464,2,5
"2014360082795",2,19,4,0,0,0,2,1,62,1870,2,12
"2014460243010",1,19,19,1,0,0,1,1,30,1995,2,6
"2014621402102",2,20,9,5,0,0,3,1,28,-1,-1,-1
"201404TA14125",3,19,19,0,0,0,2,1,47,1995,2,1
"20141313O0787",1,19,19,0,0,0,1,1,55,1870,2,9
"2014320057981",1,19,19,1,0,0,1,1,-1,1995,2,3
"2014460242336",2,19,4,0,0,0,2,1,31,1870,2,9
"201442I380611",1,19,1,2,0,0,2,1,23,1995,2,0
"201491NL05127",1,10,19,0,5,0,3,1,25,1995,2,4
"2014950001674",2,19,3,1,0,0,0,2,53,1995,2,4
"201404AL14038",1,19,13,0,0,0,4,1,38,1995,2,7
"2014521402243",2,19,19,0,0,0,1,1,48,1870,2,8
"2014300005297",1,19,19,0,0,0,1,1,43,1995,2,3
"201401GD10988",1,19,9,8,0,0,3,1,33,1995,2,3
"201450JS2R002",3,19,3,0,0,0,2,1,51,1995,2,1
"2014404CA1055",1,19,4,0,0,0,2,1,60,1995,2,4
"2014540439614",2,19,19,8,0,0,1,1,36,1870,2,8
"201432N095614",1,19,19,1,1,0,4,1,24,1995,2,2
"2014350066314",1,19,19,0,0,0,1,1,31,1870,2,10
"201401MM70825",1,19,1,0,0,0,2,1,53,1870,2,9
"2015542933515",1,9,19,0,0,11,4,1,26,1296,1,15
"201501RY10180",1,9,4,8,0,0,2,1,50,989,1,11
"2015405DA0593",1,3,4,4,1,0,3,1,18,125,1,0
"201520M013905",1,3,19,3,0,0,1,1,21,125,1,0
"2015230039137",2,3,4,1,0,0,2,1,23,125,1,0
"20154100G0487",1,2,14,8,0,0,1,1,17,125,1,0
"2015160A02971",1,5,19,8,0,0,1,1,48,498,1,21
"2015450026503",2,3,19,1,0,0,1,1,22,125,1,6
"2015300015880",1,5,19,4,0,0,4,1,49,-1,-1,-1
"201506P002357",2,5,19,8,1,0,1,1,29,1783,1,8
"2015950002603",1,19,19,1,0,0,1,1,20,1968,2,0
"201543W212085",2,19,19,0,0,0,1,1,43,1968,2,2
"2015120132455",1,9,4,1,0,0,1,1,63,1968,2,4
"201501BS70312",2,9,9,8,0,0,1,2,33,1390,1,6
"2015320010707",3,9,19,8,0,0,1,2,61,1968,2,8
"201522C503880",1,9,19,0,1,0,1,2,43,1984,1,4
"2015051501656",2,9,9,8,0,0,4,1,54,1968,2,5
"2015331502008",3,9,3,1,0,0,2,1,26,1968,2,8
"2015440342484",2,3,19,8,1,0,1,1,20,124,1,9
"2015405DA0109",1,3,4,0,1,0,3,1,22,124,1,3
"201501HT21188",1,4,19,8,0,0,4,1,32,124,1,5
"201501CW10989",2,3,19,8,0,0,4,1,41,124,1,7
"2015350187115",2,4,9,1,0,0,2,1,27,124,1,9
"201501TW60168",2,3,15,0,1,4,2,1,18,124,1,7
"201501CW10609",2,3,13,0,0,0,4,1,30,124,1,7
"201501XD80321",2,3,14,8,0,0,1,1,20,124,1,8
"2016140068555",1,9,19,1,0,0,1,1,60,2967,2,5
"2016360055079",2,9,12,0,0,0,3,1,56,2967,2,1
"201697GK03112",1,9,19,0,0,0,1,1,40,2967,2,1
"2016010030078",1,9,15,1,0,0,3,1,35,2967,2,1
"201601RG40198",1,9,19,8,0,0,3,1,40,1796,1,5
"201601PL60484",1,9,19,0,0,0,1,2,40,1998,2,4
"20161337Q1662",2,9,19,8,0,0,1,1,50,1998,2,4
"2016320405358",2,9,19,2,0,0,2,2,43,1796,1,5
"2016450064991",3,9,19,1,1,0,3,1,27,-1,-1,-1
"2016544361116",1,3,19,0,0,0,3,1,60,125,1,7
"201697QC02401",1,3,19,0,1,0,1,1,21,125,1,8
"201697UC41005",1,9,19,6,0,0,3,2,44,1341,1,11
"2016471605838",1,9,5,2,0,0,1,2,20,1086,1,11
"2016051602610",1,9,19,3,0,0,1,2,65,1086,1,10
"2016941600783",1,9,4,2,0,0,1,1,77,1086,1,10
"2016230044000",2,9,19,8,1,0,3,2,62,1086,1,10
"2016471602231",1,9,19,8,0,0,4,1,80,1341,1,13
"2016471601193",1,9,5,4,0,0,0,1,76,1341,1,11
"2016120039601",1,9,9,8,0,0,1,2,18,1399,1,9
"2016100140594",2,9,9,5,0,0,3,1,44,1086,1,9
"2016610065016",2,9,4,0,0,0,2,2,58,1341,1,11
"2016420120227",1,9,9,8,0,0,1,1,17,1086,1,11
"2016450044669",1,9,19,0,0,0,2,2,17,1493,2,10
"2016200136268",1,9,19,6,0,0,4,1,18,1086,1,14
"2016460071952",1,9,19,0,0,0,4,1,31,1086,1,12
"2016200123099",1,9,19,0,0,4,0,1,46,1086,1,8
"201697QA03107",1,9,19,0,0,0,1,1,42,1493,2,10
"2016621600813",1,9,19,0,0,0,1,1,17,1341,1,12
"2016471600186",1,9,19,4,1,0,1,1,39,1341,1,14
"2016471604270",3,9,19,0,0,0,1,2,20,1086,1,8
"2016450075817",1,9,9,5,0,0,3,1,83,1341,1,12
"2016301600887",1,9,19,8,0,0,1,1,62,1086,1,8
"2016450055116",1,9,19,6,0,0,1,2,88,1399,1,9
"2016440235242",1,9,19,0,0,0,1,2,26,1086,1,12
"2016440247833",1,9,19,8,0,0,1,2,30,1399,1,8
"201601TW60067",1,9,9,8,0,0,1,2,84,1399,1,9
"2016331600156",1,9,19,2,5,0,1,1,24,1341,1,11
"201601GD10054",1,9,9,8,0,0,3,2,24,1399,1,9
"2016133CE1692",2,9,19,0,0,0,1,1,36,1086,1,8
"2016440158492",1,9,9,6,0,0,4,1,69,1086,1,11
"2016471600342",1,9,19,0,1,0,1,2,35,1086,1,13
"2016440335714",1,9,3,0,0,0,4,1,20,1086,1,13
"2016133CG0196",2,9,19,1,0,0,1,2,31,1086,1,13
"2016551602667",3,9,19,0,0,0,1,2,80,1399,1,9
"201654B318416",3,19,19,0,0,0,3,1,49,2499,2,1
"2016961600774",1,19,19,0,0,0,3,1,27,2499,2,1
"2016410104322",1,9,19,1,0,0,4,1,38,2987,2,0
"2016010025617",2,9,19,8,0,0,1,1,51,2979,1,2
"2016460110489",2,9,2,0,0,0,2,3,37,2979,1,2
"2016546179416",3,9,4,0,0,0,1,1,50,1590,1,5
"20161336J0981",1,9,9,6,0,0,1,2,35,1590,1,5
"2016440324869",3,9,4,0,0,0,2,1,41,2268,2,3
"201601PL60316",2,9,2,8,0,0,2,1,29,1798,2,0
"201697AE02701",1,9,5,0,0,0,1,2,49,1590,1,2
"2016548279016",2,9,5,4,0,0,3,1,40,1590,1,3
"2016941600823",1,9,19,0,0,0,1,2,47,1590,1,2
"2016160142713",1,9,19,0,0,0,4,1,82,1998,2,4
"20161337C0389",2,9,1,0,0,0,3,2,35,1998,2,1
"2016460045777",1,5,19,8,0,0,1,1,21,1255,1,2
"201631D183516",2,5,19,8,0,0,1,1,34,865,1,1
"2016440376465",1,5,19,0,0,0,1,1,29,865,1,1
"201601MM70464",2,5,14,8,0,0,4,1,43,1200,1,0
"2016010008724",2,4,19,8,0,0,1,1,29,124,1,2
"2016010013331",1,3,19,0,0,0,0,1,41,124,1,1
"2016430390116",1,3,19,0,0,0,1,1,19,124,1,1
"2016200106493",2,3,19,0,1,0,1,2,26,124,1,2
"2016430272473",2,3,19,0,0,0,3,2,24,124,1,1
"2016410080029",2,3,19,8,0,0,4,1,27,124,1,0
"20161332O0256",2,3,19,8,5,0,4,1,21,124,1,1
"2016440347298",2,3,19,1,0,0,1,1,20,124,1,0
"2016331601743",2,3,14,8,0,0,1,1,47,124,1,2
"2016471604941",2,4,19,8,0,0,4,1,19,124,1,1
"2016941601019",2,3,19,2,0,0,2,1,24,124,1,1
"2016010001454",1,3,19,2,0,0,1,1,19,124,1,1
"2016471602266",1,3,19,2,0,0,1,1,17,124,1,1
"2016551601235",1,3,19,1,0,0,4,1,39,124,1,1
"201601EO40495",2,3,15,8,0,0,1,1,25,124,1,1
"2016420110472",1,3,13,0,2,0,4,1,18,124,1,0
"2016440337387",1,3,7,8,1,0,3,1,18,124,1,1
"2016521608427",2,4,14,8,0,0,1,1,17,124,1,2
"2017134AV1442",1,2,19,0,0,0,1,1,17,49,1,10
"2017450208589",2,9,2,0,0,4,1,1,39,2495,2,27
"2017420150196",1,9,9,8,0,0,3,1,30,2495,2,31
"2017301701629",2,4,19,1,0,0,1,1,65,124,1,15
"2017450145302",3,9,19,0,0,0,3,1,46,2893,1,7
"2017921700439",1,9,4,2,0,0,1,2,29,3387,1,11
"2017010010257",2,3,19,8,0,0,4,1,19,124,1,1
"201797UA71201",1,3,19,0,1,0,0,1,26,124,1,2
"2017460235443",2,3,7,3,0,0,1,1,22,124,1,2
"2017010069404",2,3,4,1,0,0,1,2,21,124,1,4
"2017051702343",2,3,19,8,0,0,1,1,52,124,1,2
"2017471707021",1,3,5,4,1,0,4,2,27,124,1,0
"2017520800431",1,3,14,1,0,0,1,1,19,124,1,1
"2017471705274",1,3,19,1,1,0,0,1,27,124,1,2
"201731C040217",2,9,3,1,0,0,2,1,80,1997,2,12
"2017100226926",2,9,19,2,0,0,4,2,56,1995,1,10
"2017430183530",1,9,19,1,0,0,1,1,46,1995,1,16
"2017010061846",1,9,9,5,0,0,1,2,31,1586,1,1
"2017471703922",1,9,3,6,0,0,1,2,49,1586,1,11
"2017440342322",2,9,19,2,0,0,1,3,-1,1590,1,18
"2017350194368",1,9,13,0,5,0,1,1,37,1586,1,1
"2017120079737",1,9,19,0,0,0,1,2,36,1373,1,0
"2017140180604",2,9,14,0,5,0,4,1,18,1586,1,0
"2017450247473",3,9,19,0,0,0,3,2,39,1870,2,6
"2017430027430",1,9,19,8,0,0,3,2,40,1995,1,9
"201731C238817",2,9,19,0,0,0,2,2,59,1598,2,1
"2017100196258",2,9,19,1,0,0,1,2,40,1586,1,0
"201763D035417",1,9,4,1,0,0,2,1,27,1590,1,12
"2017420235117",1,9,4,2,0,0,1,1,19,1590,1,13
"2017230156104",2,9,4,0,0,0,2,1,64,1997,2,15
"2017140176685",2,9,19,1,1,0,1,1,28,1997,2,13
"2017010059290",1,9,4,0,0,0,2,2,69,1995,1,11
"2017546572217",1,9,19,0,0,0,4,1,84,1997,2,16
"2017460174558",1,9,3,1,0,0,1,1,29,1586,1,0
"2017220205640",2,9,3,1,0,0,2,2,49,1586,1,2
"2017450195655",1,9,19,0,0,0,1,1,69,1598,2,2
"20171343L1139",1,4,19,0,0,0,3,1,67,499,1,-1
"2017520704183",2,4,19,1,0,0,1,1,33,124,1,11
"2017134711420",2,4,19,1,0,0,2,1,26,124,1,14
"2017500230535",2,3,19,1,1,0,3,1,21,124,1,14
"201797KA02010",2,4,19,2,0,0,1,1,18,124,1,14
"2017370213904",1,3,19,0,2,0,1,1,22,124,1,12
"2017460146665",2,3,19,0,1,7,0,2,28,124,1,17
"2017301700912",2,4,19,8,1,0,1,1,39,321,1,2
"2017134780834",1,4,19,0,0,0,0,1,23,321,1,0
"2018010100497",1,9,19,1,0,0,1,1,32,4163,1,14
"201806XN50576",1,9,19,3,2,0,3,1,30,2995,1,4
"2018220308744",2,9,13,0,0,0,2,1,24,2995,1,1
"2018200814263",1,9,19,0,0,4,1,1,35,4163,1,12
"2018460259923",1,9,9,6,0,0,3,1,33,2995,1,1
"2018530307378",2,5,19,0,0,0,4,2,55,1171,1,16
"2018410292847",1,9,1,0,2,0,1,1,17,1995,2,13
"2018030804369",3,9,19,0,0,0,0,1,57,1995,2,9
"201806M148770",2,9,19,3,0,0,3,1,34,2993,2,5
"2018521902330",2,9,19,0,0,0,1,1,62,1995,2,4
"2018360339095",3,9,19,0,0,0,2,2,41,2494,1,14
"2018200321717",2,9,19,0,0,0,2,1,40,1995,2,13
"2018010144907",1,9,5,0,0,0,1,1,24,1995,2,10
"2018921800557",1,9,19,1,0,0,1,1,65,1998,1,0
"201804WA18130",1,9,3,1,0,0,1,2,32,2000,2,8
"2018010085897",1,9,19,1,0,0,1,1,53,1995,2,11
"2018450317479",1,9,19,0,0,0,1,2,46,2993,2,2
"2018410311164",1,9,19,0,0,0,1,2,-1,1995,2,3
"201831A070618",1,9,19,2,0,0,2,2,37,2993,2,1
"2018400341443",2,9,19,0,5,0,1,2,57,1995,2,13
"2018220264792",2,9,4,1,0,0,2,1,42,2993,2,13
"2018950000030",1,9,19,0,0,0,1,1,35,1995,2,7
"2018331801231",3,9,19,0,0,0,2,1,65,1995,2,5
"2018010128791",2,9,99,0,5,99,4,1,49,1995,2,10
"2018521902932",1,9,9,6,0,0,3,2,50,2993,2,10
"2018010148443",2,9,99,9,9,99,1,3,-1,1995,2,0
"201806F251658",2,9,19,8,0,0,2,2,46,1995,2,11
"2018450801001",2,9,19,1,0,0,1,2,47,1995,2,4
"2018471805605",2,9,9,5,0,0,0,2,33,1995,2,2
"2018010091295",2,3,19,1,0,0,1,1,30,102,1,11
"2018030316995",2,2,19,0,0,0,1,1,-1,50,1,0
"2018331802024",2,2,19,8,0,0,3,1,16,50,1,0
"2018551900004",1,9,19,0,0,0,1,1,74,4293,1,17
"2018070318235",2,17,7,5,0,0,2,1,42,-1,2,4
"201897UD70406",1,17,7,8,0,0,4,1,69,6596,2,1
"2018921800360",2,17,9,5,0,0,0,1,40,-1,2,5
"2018320142632",1,9,19,4,0,0,1,1,68,2987,2,2
"2018301800441",1,9,19,0,0,0,1,1,59,2987,2,0
"2018440221096",4,9,19,0,0,0,1,1,40,2143,2,2
"2018430152720",2,3,4,0,0,0,2,1,29,125,1,7
"2018010111275",1,9,3,1,0,0,2,1,67,1498,1,0
"2018471803964",1,9,9,6,0,0,1,1,29,-1,-1,-1
"2018340S02761",2,19,19,8,0,0,1,1,19,1686,2,14
"2018420325421",2,9,3,0,0,0,2,1,50,-1,-1,-1
"2018010132674",1,9,99,9,9,99,9,1,30,1968,2,9
"201831C003318",1,9,9,5,0,0,1,2,49,1968,2,11
"2018430174606",2,9,3,0,0,0,2,1,50,1968,2,8
"2018460305270",2,9,19,8,0,0,3,1,48,1968,2,11
"2018030302982",1,5,19,0,1,0,3,1,60,849,1,17
"2018010151622",2,2,19,0,0,0,3,1,24,124,1,10
"2018010124140",1,4,9,2,0,0,3,1,33,124,1,4
"2018440058899",2,3,19,0,1,0,3,1,25,124,1,11
"2018010123197",1,3,19,2,0,0,1,1,42,124,1,4
"2018010117434",1,3,5,1,0,0,1,1,39,124,1,4
"201831C198118",2,3,19,1,0,0,1,1,37,124,1,7
"2018010126354",2,3,19,1,0,0,1,1,18,124,1,9
"2018010088994",2,3,9,1,0,0,4,1,29,124,1,2
"2018010152644",1,3,19,1,0,0,9,1,18,124,1,5
"2018010121918",1,4,19,1,0,0,1,3,-1,124,1,6
"2018450314506",1,3,19,0,0,0,1,1,18,124,1,7
"2018010113707",1,4,19,0,0,0,1,1,22,124,1,2
"2019010169669",1,9,19,0,0,0,1,1,29,1368,1,6
"2019160882127",4,9,19,0,0,0,2,2,54,1368,1,3
"2019010202593",2,9,99,0,9,99,9,3,-1,1368,1,5
"2019010168938",1,9,19,9,9,0,1,2,35,1368,1,8
"201906F152990",2,9,19,2,0,0,4,1,20,1368,1,10
"2019030835209",1,9,10,1,0,0,3,1,23,1368,1,3
"2019110855969",1,9,19,0,0,0,1,1,19,1368,1,10
"2019400824315",1,9,7,1,0,0,1,1,25,1368,1,6
"2019230914058",1,9,1,0,0,0,2,2,40,875,1,4
"2019200824299",2,9,19,0,0,0,1,1,24,1368,1,7
"2019430309954",1,9,9,6,0,0,1,1,59,2993,2,1
"2019040850616",2,9,19,2,0,0,3,2,34,1995,2,4
"2019010202401",2,9,9,8,0,0,1,3,-1,1995,2,2
"2019350850710",1,9,7,5,0,0,1,3,-1,1995,2,2
"2019010193876",2,9,5,0,0,0,1,1,51,1995,2,5
"2019621900293",4,9,3,0,0,0,2,1,65,1998,1,3
"20191364S1645",1,9,19,0,0,0,3,1,42,2979,1,4
"2019200854249",1,9,2,0,0,0,2,1,23,1997,1,5
"2019010189501",2,9,99,1,9,99,2,3,-1,1995,2,4
"2019010197791",1,9,4,1,0,0,0,1,31,1997,1,4
"2019010215685",2,9,19,8,0,0,1,3,-1,1997,1,5
"2019010172612",1,9,99,8,9,99,2,2,31,1998,1,3
"2019230911695",2,9,19,0,0,0,2,2,45,1995,2,4
"2019010205048",1,9,19,9,9,99,9,1,28,1995,2,3
"2019210861052",2,9,19,1,0,0,1,1,28,1995,2,4
"2019010190276",1,9,19,0,0,0,1,1,25,1997,1,5
"2019010190754",1,9,19,0,0,0,4,2,30,1998,1,1
"2019460899321",2,9,19,1,0,0,1,2,-1,2993,2,2
"2019160874490",1,9,9,3,0,0,1,1,28,1995,2,3
"2019010213638",1,9,19,1,0,0,4,1,24,1995,2,5
"2019010217445",2,9,99,9,9,99,1,3,-1,1995,2,0
"2019470845664",1,9,3,4,0,0,2,1,39,1998,1,0
"2019230837898",1,9,13,0,0,0,3,1,56,2993,2,0
"2019460885418",1,9,19,4,0,10,1,1,72,2998,1,1
"2019010170730",1,9,19,2,0,0,1,1,24,1995,2,4
"201906K253138",1,9,5,0,0,0,3,2,50,2993,2,0
"201931D156219",1,9,19,0,0,4,1,3,-1,1995,2,6
"2019010185349",1,9,99,9,9,99,9,2,38,1995,2,1
"2019331901088",2,9,19,8,0,0,1,1,42,1995,2,2
"2019430025083",1,9,19,4,0,0,1,1,-1,1995,2,3
"2019010198373",2,9,99,9,9,99,9,3,-1,2993,2,4
"201931C194119",1,9,19,6,0,0,1,1,19,1995,2,2
"2019980873590",2,9,8,1,0,0,0,2,26,1995,2,2
"2019544238819",2,9,19,1,0,0,4,1,47,2993,2,3
"2019940880434",2,9,19,0,0,0,1,1,27,1995,2,5
"2019430036022",2,9,3,0,0,0,2,1,48,1995,2,2
"2019010206394",2,9,99,9,9,99,9,3,-1,1995,2,5
"2019450867103",1,9,19,0,0,0,4,1,20,1997,1,6
"2019010220791",2,9,99,9,9,99,1,3,-1,1998,1,1
"2019340W03401",2,5,19,8,0,0,1,1,40,1690,1,4
"2019301901167",1,5,19,0,0,0,1,1,64,1449,1,13
"2019010224856",1,3,19,8,0,0,3,1,25,125,1,5
"2019010211327",1,3,99,0,9,99,9,1,44,125,1,4
"2019010199868",2,3,19,0,0,0,1,1,50,125,1,5
"2019552000039",1,3,4,4,0,0,2,2,78,125,1,4
"2019010177533",2,4,19,0,0,0,1,1,19,125,1,5
"2019010191096",2,3,19,8,0,0,1,1,29,125,1,2
"2019470862489",1,3,19,0,0,0,4,1,35,125,1,2
"2019010178781",1,3,19,0,9,0,9,1,31,125,1,1
"2019010216328",1,3,10,2,0,0,3,1,35,125,1,1
"2019010222997",1,3,99,0,9,99,9,1,22,125,1,1
"2019010212178",1,4,19,1,0,0,1,1,35,125,1,1
"2019010214124",1,3,99,9,9,99,9,1,19,125,1,1
"2019010185080",1,2,19,0,0,0,1,1,-1,125,1,0
"2019010174042",1,3,99,0,9,99,9,1,20,125,1,1
"2019450879624",1,3,3,1,0,0,3,1,42,125,1,2
"2019010197127",1,3,19,1,0,0,1,1,21,125,1,0
"2019010217683",1,3,99,9,9,99,9,1,29,125,1,1
"2019010175150",2,2,5,1,1,0,1,1,24,125,1,1
"2019010226330",2,3,14,0,0,0,4,1,46,125,1,1
"2019010200263",1,2,5,1,0,0,2,1,34,125,1,2
"2019010178701",2,4,5,1,0,0,2,1,44,125,1,2
"2019051911200",2,5,19,8,1,0,4,1,60,954,1,17
"2019010205922",1,3,9,8,5,0,4,1,35,125,1,1
"2019010182542",1,9,19,2,0,0,1,2,73,1489,1,21
"2019340W80041",2,9,19,8,0,0,1,1,81,1598,1,17
"2019500836034",1,9,19,0,1,0,1,2,25,1498,1,20
"2019430121946",1,2,19,0,0,10,1,2,16,50,1,4
"2019551901211",1,9,14,0,0,0,1,2,80,1360,1,13
"2019010189534",1,9,99,9,9,99,2,2,26,1360,1,9
"2019010217245",2,9,19,1,0,0,1,1,26,1360,1,11
"2019010177627",2,9,6,1,0,0,3,2,34,1360,1,10
"20191367K0938",1,9,19,0,0,0,1,2,79,1560,2,11
"201906E465689",1,9,19,0,0,0,1,1,20,1360,1,13
"2019360919214",2,9,3,0,0,0,2,1,23,1360,1,12
"201906A157824",1,9,19,2,0,0,1,2,40,1360,1,13
"2019370846446",2,9,19,0,0,0,1,2,21,1560,2,10
"2019420908169",2,9,4,0,0,0,2,1,24,-1,-1,-1
"2019320028536",1,9,9,8,0,0,1,2,54,1598,1,9
"2019980883697",1,9,19,0,5,0,1,2,73,1397,1,9
"2019010223906",1,9,99,9,9,99,9,2,55,1360,1,12
"2019410823241",1,9,4,0,0,0,0,2,36,1598,1,11
"2019040875359",2,9,19,3,0,0,1,1,24,1360,1,12
"2019520906623",4,9,19,0,0,0,1,3,30,1398,2,10
"2019500871463",1,9,4,1,0,0,1,2,47,1398,2,8
"2019200921199",1,9,9,1,0,0,1,2,-1,1360,1,12
"2019500920551",2,9,4,0,0,0,1,1,25,1360,1,13
